Annotation_Is_Verified,Classification,Comment_Count,Featured_Video,Followers,Is_Verified,Length_Referent_Text,Number_Verified_Annotations,Pinned,Class
FALSE,accepted,0,FALSE,693,FALSE,45,1,FALSE,low
FALSE,accepted,0,TRUE,2503,TRUE,68,0,FALSE,low
FALSE,accepted,0,FALSE,419,FALSE,31,0,FALSE,low
FALSE,accepted,0,FALSE,2660,FALSE,53,0,FALSE,low
FALSE,accepted,4,FALSE,10964,FALSE,71,0,FALSE,high
FALSE,accepted,0,FALSE,693,FALSE,53,0,FALSE,low
FALSE,accepted,0,FALSE,8610,FALSE,30,0,FALSE,high
FALSE,accepted,0,FALSE,38,FALSE,114,0,FALSE,low
FALSE,accepted,0,TRUE,17568,TRUE,32,0,FALSE,high
FALSE,accepted,1,FALSE,2503,TRUE,52,0,FALSE,low
FALSE,accepted,3,TRUE,17568,TRUE,83,2,FALSE,high
FALSE,accepted,0,TRUE,21495,TRUE,108,3,FALSE,high
FALSE,accepted,0,TRUE,17568,TRUE,12,3,FALSE,high
FALSE,accepted,1,FALSE,8610,FALSE,167,0,FALSE,high
FALSE,unreviewed,0,FALSE,419,FALSE,152,0,FALSE,low
FALSE,accepted,0,FALSE,419,FALSE,19,0,FALSE,high
FALSE,unreviewed,0,FALSE,598,FALSE,66,0,FALSE,low
FALSE,accepted,2,TRUE,10964,FALSE,225,0,FALSE,high
FALSE,accepted,0,TRUE,21495,TRUE,25,0,FALSE,high
FALSE,accepted,0,FALSE,2503,TRUE,60,0,FALSE,low
FALSE,unreviewed,0,TRUE,598,FALSE,146,0,FALSE,low
FALSE,accepted,0,FALSE,2503,TRUE,46,0,FALSE,low
FALSE,accepted,1,TRUE,21495,TRUE,40,0,FALSE,high
FALSE,accepted,1,TRUE,419,FALSE,17,0,FALSE,high
FALSE,accepted,0,FALSE,693,FALSE,75,1,FALSE,high
TRUE,verified,43,TRUE,8610,FALSE,30,9,TRUE,high
FALSE,accepted,0,TRUE,21495,TRUE,25,3,FALSE,high
FALSE,accepted,0,TRUE,10964,FALSE,23,1,FALSE,low
FALSE,accepted,0,FALSE,21495,TRUE,216,0,FALSE,high
FALSE,accepted,3,FALSE,598,FALSE,71,0,FALSE,low
FALSE,accepted,0,TRUE,2503,TRUE,15,0,FALSE,low
FALSE,accepted,0,FALSE,598,FALSE,35,0,FALSE,low
FALSE,accepted,0,FALSE,598,FALSE,22,0,FALSE,low
TRUE,accepted,0,TRUE,17568,TRUE,142,6,FALSE,low
FALSE,unreviewed,0,FALSE,2503,TRUE,47,0,FALSE,low
FALSE,accepted,2,TRUE,21495,TRUE,9,2,FALSE,high
FALSE,unreviewed,0,TRUE,10964,FALSE,54,0,FALSE,low
FALSE,unreviewed,0,FALSE,38,FALSE,35,0,FALSE,low
FALSE,accepted,0,TRUE,21495,TRUE,27,0,FALSE,low
TRUE,verified,27,TRUE,17568,TRUE,91,2,TRUE,high
FALSE,accepted,0,FALSE,8610,FALSE,222,0,FALSE,high
FALSE,unreviewed,4,TRUE,2660,FALSE,178,0,FALSE,high
FALSE,unreviewed,0,FALSE,38,FALSE,42,0,FALSE,low
