Annotation_Is_Verified,Classification,Comment_Count,Featured_Video,Is_Verified,Length_Referent_Text,Number_Verified_Annotations,Pinned,Total_Votes_log
FALSE,accepted,0,FALSE,FALSE,39,0,FALSE,0
FALSE,accepted,0,FALSE,TRUE,42,4,FALSE,1.041392685
FALSE,unreviewed,0,FALSE,FALSE,44,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,32,3,FALSE,1.819543936
FALSE,accepted,0,TRUE,TRUE,22,3,FALSE,1.785329835
FALSE,accepted,0,FALSE,FALSE,30,0,FALSE,0.301029996
FALSE,unreviewed,0,FALSE,FALSE,41,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,14,0,FALSE,1.113943352
FALSE,accepted,0,TRUE,FALSE,40,1,FALSE,0.301029996
FALSE,accepted,0,FALSE,FALSE,67,0,FALSE,1.255272505
FALSE,accepted,0,TRUE,FALSE,47,1,FALSE,2.071882007
FALSE,unreviewed,0,FALSE,FALSE,17,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,202,0,FALSE,1.982271233
FALSE,accepted,0,FALSE,FALSE,43,0,FALSE,1.278753601
FALSE,accepted,0,TRUE,TRUE,164,0,FALSE,1.301029996
FALSE,accepted,0,FALSE,FALSE,143,0,FALSE,1.770852012
FALSE,unreviewed,0,FALSE,FALSE,26,0,FALSE,0
FALSE,unreviewed,1,FALSE,FALSE,96,0,FALSE,0
FALSE,accepted,0,TRUE,FALSE,109,0,FALSE,1.505149978
FALSE,unreviewed,1,FALSE,TRUE,99,0,FALSE,0.77815125
FALSE,unreviewed,0,FALSE,FALSE,43,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,104,0,FALSE,0.602059991
FALSE,accepted,0,TRUE,FALSE,139,0,FALSE,1.633468456
TRUE,verified,52,TRUE,FALSE,59,9,TRUE,2.597695186
FALSE,accepted,0,TRUE,FALSE,17,0,FALSE,0.84509804
FALSE,accepted,1,FALSE,TRUE,52,0,FALSE,1.041392685
FALSE,unreviewed,0,TRUE,FALSE,56,0,FALSE,0
TRUE,verified,79,TRUE,TRUE,105,3,TRUE,3.086359831
FALSE,accepted,1,FALSE,FALSE,89,1,FALSE,0.301029996
FALSE,accepted,1,FALSE,FALSE,62,0,FALSE,1
FALSE,accepted,1,FALSE,TRUE,66,0,FALSE,0.477121255
FALSE,accepted,1,TRUE,TRUE,31,2,FALSE,1.963787827
FALSE,accepted,0,TRUE,FALSE,146,0,FALSE,0.301029996
FALSE,accepted,0,FALSE,TRUE,166,0,FALSE,0.84509804
FALSE,unreviewed,0,FALSE,FALSE,86,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,26,0,FALSE,1.832508913
FALSE,accepted,0,FALSE,TRUE,39,0,FALSE,0.77815125
FALSE,accepted,0,TRUE,FALSE,80,0,FALSE,0
TRUE,verified,1,TRUE,FALSE,141,2,TRUE,1.591064607
TRUE,verified,1,TRUE,FALSE,49,4,TRUE,1.939519253
FALSE,accepted,0,TRUE,TRUE,61,0,FALSE,1.681241237
