Accepted_Annotations,Annotation_Count,Comment_Count,Followers,Length_Referent_Text,Number_Contributors,Number_Verified_Annotations,Page_Views,Pyong_Count,Release_Date
42,43,1,419,17,188,0,1173187,161,10906
26,29,0,693,75,62,1,155005,25,6935
32,42,43,8610,30,515,9,5296468,341,887
47,51,0,21495,25,346,3,3910160,380,2036
60,62,0,10964,23,199,1,2718643,228,1793
36,37,0,21495,216,508,0,4526124,507,401
11,16,3,598,71,86,0,218921,52,4252
47,49,0,2503,15,181,0,884987,117,1986
27,29,0,598,35,60,0,101327,71,7306
24,27,0,598,22,21,0,33958,50,7306
42,49,0,17568,142,267,6,961072,981,1364
19,21,0,2503,47,63,0,199159,9,4870
39,42,2,21495,9,393,2,7086094,669,2034
18,24,0,10964,54,216,0,2254705,226,2518
0,9,0,38,35,4,0,1382475,3,1308
13,15,0,21495,27,159,0,1329333,136,136
48,51,27,17568,91,292,2,1384638,302,6578
25,26,0,8610,222,273,0,1657441,82,751
22,27,4,2660,178,158,0,1163069,159,8970
2,9,0,38,42,39,0,282527,50,1174
30,35,0,2660,17,152,0,245908,29,7906
26,27,0,693,14,84,0,174452,23,7249
23,24,0,10964,195,398,0,4498975,1263,1026
59,65,0,17568,119,375,3,1680661,430,6389
31,58,0,10964,13,245,26,4690125,1077,1192
22,28,0,8610,13,167,0,2147517,91,2126
22,24,0,693,71,62,0,58154,8,7936
67,68,0,2503,44,208,0,178665,32,607
81,84,0,10964,21,251,2,3670474,495,1699
25,27,0,8610,85,237,1,2391365,254,1797
36,37,4,21495,94,508,0,4526124,507,401
39,40,0,693,73,83,0,173703,34,7985
16,22,1,419,94,40,0,89259,12,10141
29,30,0,2503,25,110,0,505744,68,4860
57,58,3,2503,93,157,0,183015,19,611
25,36,0,419,40,25,0,38090,2,10877
14,27,0,419,6,58,0,93873,13,10415
52,55,0,693,27,64,1,54408,12,8735
16,22,0,419,70,40,0,89259,12,10141
26,29,1,693,105,62,1,155005,25,6935
15,16,0,10964,101,168,0,2441784,145,751
56,59,0,693,45,134,0,608156,83,4001
21,22,3,8610,104,171,0,1491573,99,826
30,31,0,2503,42,125,0,579775,56,947
11,16,0,598,36,86,0,218921,52,4252
6,11,1,17568,76,173,0,826526,170,1657
14,23,0,419,45,34,0,27247,6,9854
30,31,1,2503,83,82,0,140642,18,4646
64,65,0,419,26,79,0,210446,18,11238
18,22,1,17568,67,172,0,828968,227,2528
31,32,0,693,67,121,0,751230,95,6438
21,26,0,419,63,27,0,24461,1,9854
38,40,1,17568,171,147,0,1054515,245,4773
46,49,0,17568,48,207,0,896107,239,4548
94,104,0,2660,58,294,0,2015929,338,8020
53,54,3,17568,331,251,0,1310185,380,5843
59,65,32,17568,30,375,3,1680661,430,6389
28,29,2,21495,16,198,0,1921896,426,2514
12,13,0,10964,64,168,0,5132018,475,1747
12,13,0,10964,57,168,0,5132018,475,1747
19,20,0,2503,74,45,0,273854,10,699
23,24,0,693,106,37,0,86111,3,7173
42,49,3,17568,84,267,6,961072,981,1364
29,38,0,598,45,84,0,332843,96,5360
40,46,0,8610,5,335,0,3428303,174,2082
19,21,0,598,26,28,0,154723,78,6725
1,2,1,38,70,5,0,1382475,1,553
84,89,2,21495,18,552,4,5613108,2095,2036
81,84,1,10964,31,251,2,3670474,495,1699
6,8,0,598,31,30,0,41400,65,7306
44,57,0,598,59,78,0,44223,4,7467
10,11,0,10964,38,237,0,5521909,201,775
12,15,2,2660,78,72,0,290854,74,4863
55,66,0,419,4,50,0,49068,6,10877
48,50,0,17568,111,235,0,962445,310,2943
73,77,0,17568,24,279,1,1156612,233,1657
73,77,0,17568,87,279,1,1156612,233,1657
34,36,2,21495,138,245,1,3253375,527,2043
21,22,1,10964,394,218,0,2302935,163,541
45,46,0,8610,123,191,0,2798227,1397,1207
